service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773328,0,0,0,0,0,0,0,20190601,20190720
2773327,0,0,0,0,0,0,0,20190126,20190525
2773329,0,0,0,0,0,0,0,20190215,20190628
2773320,0,0,0,0,0,0,0,20190421,20190421
2773323,0,0,0,0,0,0,0,20190122,20190429
2773321,0,0,0,0,0,0,0,20190211,20190627
2773325,0,0,0,0,0,0,0,20190701,20190718
12773331,0,0,0,0,0,0,0,20190126,20190501
12773332,0,0,0,0,0,0,0,20190601,20190720
12773323,0,0,0,0,0,0,0,20190123,20190430
12773325,0,0,0,0,0,0,0,20190702,20190719
12773320,0,0,0,0,0,0,0,20190422,20190422
12773321,0,0,0,0,0,0,0,20190212,20190628
2773331,0,0,0,0,0,0,0,20190125,20190430
2773332,0,0,0,0,0,0,0,20190531,20190719
12773319,0,0,0,0,0,0,0,20190128,20190531
12773327,0,0,0,0,0,0,0,20190127,20190526
12773318,0,0,0,0,0,0,0,20190603,20190708
12773328,0,0,0,0,0,0,0,20190602,20190721
2773318,0,0,0,0,0,0,0,20190602,20190707
12773329,0,0,0,0,0,0,0,20190216,20190629
2773319,0,0,0,0,0,0,0,20190127,20190530
