service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12773350,0,0,0,0,0,0,0,20190123,20190430
2773346,0,0,0,0,0,0,0,20190602,20190707
2773358,0,0,0,0,0,0,0,20190531,20190719
2773348,0,0,0,0,0,0,0,20190421,20190421
2773347,0,0,0,0,0,0,0,20190127,20190530
2773356,0,0,0,0,0,0,0,20190125,20190430
2773349,0,0,0,0,0,0,0,20190701,20190718
12773346,0,0,0,0,0,0,0,20190603,20190708
12773347,0,0,0,0,0,0,0,20190128,20190531
12773348,0,0,0,0,0,0,0,20190422,20190422
12773358,0,0,0,0,0,0,0,20190601,20190720
12773349,0,0,0,0,0,0,0,20190702,20190719
12773355,0,0,0,0,0,0,0,20190216,20190629
2773350,0,0,0,0,0,0,0,20190122,20190429
12773356,0,0,0,0,0,0,0,20190126,20190501
2773351,0,0,0,0,0,0,0,20190211,20190627
12773353,0,0,0,0,0,0,0,20190602,20190721
12773354,0,0,0,0,0,0,0,20190127,20190526
2773353,0,0,0,0,0,0,0,20190601,20190720
12773351,0,0,0,0,0,0,0,20190212,20190628
2773354,0,0,0,0,0,0,0,20190126,20190525
2773355,0,0,0,0,0,0,0,20190215,20190628
