service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773269,0,0,0,0,0,0,0,20190125,20190419
2773259,0,0,0,0,0,0,0,20190127,20190530
2773258,0,0,0,0,0,0,0,20190602,20190707
12773269,0,0,0,0,0,0,0,20190126,20190420
12773259,0,0,0,0,0,0,0,20190128,20190531
12773267,0,0,0,0,0,0,0,20190602,20190721
12773258,0,0,0,0,0,0,0,20190603,20190708
12773266,0,0,0,0,0,0,0,20190127,20190526
12773265,0,0,0,0,0,0,0,20190226,20190628
12773264,0,0,0,0,0,0,0,20190702,20190719
12773261,0,0,0,0,0,0,0,20190422,20190422
12773262,0,0,0,0,0,0,0,20190123,20190419
12773260,0,0,0,0,0,0,0,20190610,20190610
2773270,0,0,0,0,0,0,0,20190531,20190719
2773267,0,0,0,0,0,0,0,20190601,20190720
2773266,0,0,0,0,0,0,0,20190126,20190525
2773271,0,0,0,0,0,0,0,20190301,20190628
2773265,0,0,0,0,0,0,0,20190225,20190627
2773264,0,0,0,0,0,0,0,20190701,20190718
12773271,0,0,0,0,0,0,0,20190302,20190629
12773270,0,0,0,0,0,0,0,20190601,20190720
2773262,0,0,0,0,0,0,0,20190122,20190418
2773261,0,0,0,0,0,0,0,20190421,20190421
2773260,0,0,0,0,0,0,0,20190609,20190609
