service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12773340,0,0,0,0,0,0,0,20190601,20190720
2773339,0,0,0,0,0,0,0,20190125,20190529
2773338,0,0,0,0,0,0,0,20190126,20190720
12773335,0,0,0,0,0,0,0,20190128,20190708
2773337,0,0,0,0,0,0,0,20190603,20190718
12773336,0,0,0,0,0,0,0,20190123,20190529
2773336,0,0,0,0,0,0,0,20190122,20190528
2773335,0,0,0,0,0,0,0,20190127,20190707
12773339,0,0,0,0,0,0,0,20190126,20190530
12773337,0,0,0,0,0,0,0,20190604,20190719
12773338,0,0,0,0,0,0,0,20190127,20190721
2773340,0,0,0,0,0,0,0,20190531,20190719
